Wavelength	OC32S		O13CS		OC33S		OC34S	
nm	cm2	1s	cm2	1s	cm2	1s	cm2	1s
257.18	4.52054E-21	6.41430E-22	4.34871E-21	6.54952E-22	4.50133E-21	3.52038E-22	4.57258E-21	4.85701E-22
257.16	4.59065E-21	5.07886E-22	4.33756E-21	5.38904E-22	4.39808E-21	4.39555E-22	4.44895E-21	5.49818E-22
257.14	4.61883E-21	5.30616E-22	4.44344E-21	5.95286E-22	4.39920E-21	3.97220E-22	4.32159E-21	5.23896E-22
257.12	4.70522E-21	3.90274E-22	4.56341E-21	6.49312E-22	4.46630E-21	3.29500E-22	4.28116E-21	4.10224E-22
257.1	4.64251E-21	4.92723E-22	4.59312E-21	6.15960E-22	4.57904E-21	3.15344E-22	4.46671E-21	3.50853E-22
257.08	4.64301E-21	5.91463E-22	4.71204E-21	6.70266E-22	4.77938E-21	4.08230E-22	4.48855E-21	2.91808E-22
257.06	4.66131E-21	3.51052E-22	4.81705E-21	6.08011E-22	4.67945E-21	2.78866E-22	4.52393E-21	3.25517E-22
257.04	4.68028E-21	3.35531E-22	4.72332E-21	7.65312E-22	4.63871E-21	3.70616E-22	4.54408E-21	3.35762E-22
257.02	4.58908E-21	6.23629E-22	4.56192E-21	7.62174E-22	4.68024E-21	4.68311E-22	4.59986E-21	2.91596E-22
257	4.52760E-21	7.38054E-22	4.45869E-21	5.37977E-22	4.56647E-21	4.73446E-22	4.70621E-21	2.20292E-22
256.98	4.62900E-21	5.87335E-22	4.53003E-21	5.00220E-22	4.54569E-21	4.35847E-22	4.59948E-21	1.93986E-22
256.96	4.67280E-21	6.31855E-22	4.70095E-21	5.12731E-22	4.47891E-21	2.83533E-22	4.52001E-21	1.71273E-22
256.94	4.74499E-21	5.28176E-22	4.77252E-21	5.13580E-22	4.64652E-21	3.21412E-22	4.56487E-21	1.72142E-22
256.92	4.69524E-21	4.90622E-22	4.77638E-21	6.62834E-22	4.73303E-21	4.77431E-22	4.64858E-21	1.93413E-22
256.9	4.58841E-21	6.88301E-22	4.61417E-21	6.58803E-22	4.61321E-21	4.53755E-22	4.71025E-21	3.17710E-22
256.88	4.69914E-21	5.97694E-22	4.62065E-21	5.25636E-22	4.65622E-21	3.05135E-22	4.77035E-21	3.05709E-22
256.86	4.72123E-21	3.40446E-22	4.57150E-21	3.86216E-22	4.86559E-21	2.75740E-22	4.82419E-21	1.43559E-22
256.84	4.70410E-21	3.30399E-22	4.54385E-21	4.90070E-22	4.83458E-21	4.29919E-22	4.87751E-21	3.15612E-22
256.82	4.85286E-21	2.20405E-22	4.58572E-21	4.57998E-22	4.80795E-21	4.95264E-22	4.74920E-21	3.63091E-22
256.8	4.99036E-21	2.22752E-22	4.58495E-21	3.91968E-22	4.83327E-21	4.43747E-22	4.61243E-21	2.60733E-22
256.78	4.89832E-21	2.95959E-22	4.59578E-21	6.49581E-22	4.87700E-21	4.29667E-22	4.61725E-21	2.51744E-22
256.76	4.92479E-21	3.56960E-22	4.61217E-21	7.32212E-22	4.86095E-21	5.64102E-22	4.59444E-21	3.01585E-22
256.74	5.18063E-21	3.02889E-22	4.76675E-21	6.52026E-22	4.96116E-21	4.98146E-22	4.83406E-21	2.99430E-22
256.72	4.99127E-21	3.57835E-22	4.78001E-21	5.13152E-22	5.13216E-21	3.06023E-22	4.97229E-21	1.88816E-22
256.7	4.95574E-21	6.55130E-22	4.47950E-21	4.98829E-22	5.06258E-21	3.78733E-22	4.99998E-21	1.63367E-22
256.68	5.10242E-21	6.31584E-22	4.60975E-21	7.65206E-22	4.83670E-21	5.12192E-22	5.00703E-21	2.13238E-22
256.66	5.18000E-21	6.55854E-22	4.76417E-21	7.75000E-22	4.85886E-21	5.86129E-22	4.99343E-21	3.88785E-22
256.64	4.99434E-21	7.27552E-22	4.76967E-21	7.22063E-22	4.86723E-21	4.78623E-22	4.89282E-21	5.27057E-22
256.62	4.94750E-21	4.72036E-22	4.86149E-21	6.38691E-22	4.88461E-21	4.79478E-22	4.96609E-21	4.84629E-22
256.6	5.13827E-21	2.36302E-22	4.93991E-21	6.03361E-22	4.94776E-21	4.76165E-22	5.04430E-21	2.57190E-22
256.58	5.14819E-21	2.25935E-22	4.83127E-21	5.56919E-22	4.97872E-21	3.75048E-22	4.97487E-21	3.52265E-22
256.56	5.08327E-21	3.49004E-22	4.84050E-21	6.54052E-22	5.07005E-21	4.57542E-22	4.91397E-21	2.90902E-22
256.54	5.06062E-21	3.79181E-22	4.88499E-21	7.91982E-22	4.98908E-21	4.69505E-22	5.08348E-21	2.78083E-22
256.52	5.04349E-21	4.30452E-22	5.03459E-21	8.48458E-22	4.92218E-21	3.95270E-22	5.08327E-21	4.13285E-22
256.5	5.22100E-21	5.25806E-22	4.96563E-21	6.91574E-22	4.97758E-21	5.30807E-22	5.08949E-21	3.02265E-22
256.48	5.42118E-21	4.65875E-22	5.00847E-21	5.89404E-22	5.06277E-21	3.93342E-22	5.13792E-21	3.21398E-22
256.46	5.33640E-21	5.81267E-22	5.01971E-21	5.95719E-22	5.05256E-21	3.82927E-22	5.14235E-21	3.33846E-22
256.44	5.20681E-21	5.69830E-22	4.98126E-21	6.24963E-22	5.15222E-21	4.24132E-22	5.09740E-21	3.29432E-22
256.42	4.85080E-21	5.13302E-22	5.06061E-21	6.82690E-22	5.07801E-21	3.53436E-22	5.27340E-21	2.16140E-22
256.4	5.02727E-21	4.93231E-22	5.13866E-21	6.95161E-22	5.17612E-21	4.17456E-22	5.24753E-21	1.45862E-22
256.38	5.46514E-21	5.66780E-22	5.07542E-21	6.24763E-22	5.25381E-21	4.03896E-22	5.18711E-21	1.96835E-22
256.36	5.32219E-21	5.95733E-22	5.09683E-21	7.29205E-22	5.21152E-21	4.69237E-22	5.26010E-21	2.77225E-22
256.34	5.09730E-21	6.29688E-22	5.00931E-21	6.44173E-22	5.28152E-21	4.16869E-22	5.43251E-21	2.16813E-22
256.32	5.28238E-21	3.65601E-22	5.07471E-21	5.79788E-22	5.10726E-21	4.02523E-22	5.34222E-21	2.56874E-22
256.3	5.37267E-21	3.95348E-22	5.13840E-21	6.66879E-22	5.14895E-21	5.30084E-22	5.21485E-21	3.94101E-22
256.28	5.50782E-21	5.36466E-22	5.14500E-21	5.75741E-22	5.32363E-21	4.51814E-22	5.19929E-21	3.10892E-22
256.26	5.50253E-21	5.47243E-22	5.19362E-21	6.19953E-22	5.47428E-21	4.45685E-22	5.14696E-21	4.20992E-22
256.24	5.47423E-21	6.50948E-22	5.21586E-21	5.73538E-22	5.49816E-21	4.02995E-22	5.34835E-21	3.02147E-22
256.22	5.47514E-21	6.54895E-22	5.14955E-21	6.25120E-22	5.55593E-21	3.69261E-22	5.28767E-21	2.61585E-22
256.2	5.54116E-21	6.74569E-22	5.11495E-21	4.92446E-22	5.42114E-21	3.62202E-22	5.47328E-21	3.35013E-22
256.18	5.65523E-21	5.69680E-22	5.23574E-21	5.60382E-22	5.47132E-21	4.42229E-22	5.44957E-21	3.97499E-22
256.16	5.51524E-21	6.77094E-22	5.24299E-21	7.31790E-22	5.39463E-21	4.01270E-22	5.37656E-21	3.44085E-22
256.14	5.54764E-21	4.18901E-22	5.36658E-21	5.47813E-22	5.36893E-21	4.05473E-22	5.47728E-21	3.14726E-22
256.12	5.51897E-21	5.18307E-22	5.40636E-21	6.95901E-22	5.54349E-21	3.70607E-22	5.59107E-21	3.74816E-22
256.1	5.63474E-21	6.07917E-22	5.45158E-21	6.92864E-22	5.53657E-21	2.34389E-22	5.49911E-21	4.30303E-22
256.08	5.67635E-21	4.65147E-22	5.34302E-21	5.87804E-22	5.57083E-21	4.17671E-22	5.43969E-21	6.63612E-22
256.06	5.66725E-21	6.98233E-22	5.18744E-21	4.13544E-22	5.50214E-21	3.92771E-22	5.55118E-21	2.79137E-22
256.04	5.83259E-21	3.97583E-22	5.36660E-21	4.85893E-22	5.72981E-21	4.48220E-22	5.55567E-21	3.89840E-22
256.02	5.75188E-21	3.01466E-22	5.49900E-21	7.92234E-22	5.77998E-21	4.20348E-22	5.47074E-21	3.76110E-22
256	5.63121E-21	2.37869E-22	5.58940E-21	7.95404E-22	5.73166E-21	4.03039E-22	5.48560E-21	3.07760E-22
